artist,title
James Bay,Wild Love
Ed Sheeran,Shape of You
DJ Snake,Let Me Love You
Ellie Goulding,Love Me Like You Do
Ariana Grande& The Weeknd,Love Me Harder
Betty Who,Somebody Loves You
John Legend,All of Me
David Guetta,Without You
Selena Gomez,Love You Like a Love Song
Rihanna,We Found Love
Justin Bieber,Baby
Bruno Mars,Just The Way You Are
David Guetta,When Love Takes Over
Adele,Make You Feel My Love
Taylor Swift,You Belong With Me
The Swell Season,Falling Slowly
Sara Bareilles,Love Song
Justin Timberlake,Summer Love
Bright Eyes,First Day of My Life
Maroon 5,This Love
R. Kelly,Step In The Name Of Love
Aerosmith ,I Don't Want To Miss A Thing
Engelbert Humperdinck ,How Slow We Go
Enrique Iglesias ,Hero
Alicia Keys ,Fallin'
NSYNC ,This I Promise You
Ricky Martin ,Nobody Wants To Be Lonely
Sade ,By Your Side
Faith Hill ,Breathe
Dido ,Thank You
Goo Goo Dolls ,Iris
Shania Twain ,You're Still The One
Celine Dion ,My Heart Will Go On
LeAnn Rimes ,How Do I Live
Sarah McLachlan ,Building A Mystery
Toni Braxton ,Un-break My Heart
Celine Dion ,Because You Loved Me
Bruce Springsteen ,Secret Garden
No Doubt ,Don't Speak
The Pretenders ,I'll Stand By You
Boyz II Men ,I'll Make Love To You
Janet Jackson ,That's The Way Love Goes
Meat Loaf ,I'd Do Anything For Love (But I Won't Do That)
Whitney Houston ,I Will Always Love You
Natalie Cole & Nat King Cole ,Unforgettable
Vanessa Williams ,Save The Best For Last
Bonnie Raitt ,I Can't Make You Love Me
Bryan Adams ,(Everything I Do) I Do It For You
Sinead O'Connor ,Nothing Compares 2 U
Extreme ,More Than Words
Chris Isaak ,Wicked Game
Kenny Rogers ,The Vows Go Unbroken (Always True To You)
Bon Jovi ,I'll Be There For You
Luther Vandross ,Here And Now
INXS ,Never Tear Us Apart
The Bangles ,Eternal Flame
U2 ,With or Without You
Sting & The Police ,Roxanne
LL Cool J ,I Need Love
Madonna ,Crazy For You
Atlantic Starr ,Always
Engelbert Humperdinck ,Love Is All
Heart ,Alone
Luther Vandross ,Stop To Love
Roxette ,It Must Have Been Love
Lisa Lisa & Cult Jam & Full Force ,All Cried Out
Pat Benatar ,We Belong
Foreigner ,I Want To Know What Love Is
Tina Turner ,What's Love Got To Do With It
Cyndi Lauper ,Time After Time
Tina Turner ,Private Dancer
Prince ,I Would Die 4 U
Chaka Khan ,I Feel For You
George Michael/Wham! ,Careless Whisper
Bonnie Tyler ,Total Eclipse Of The Heart
Modern English ,I Melt With You
Journey ,Faithfully
Journey ,Open Arms
Willie Nelson ,Always On My Mind
John Lennon ,Woman
The Police ,Every Little Thing She Does Is Magic
Diana Ross & Lionel Richie ,Endless Love
Bette Midler ,The Rose
Air Supply ,All Out Of Love
Barbra Streisand & Neil Diamond ,You Don't Bring Me Flowers
Cheap Trick ,I Want You To Want Me
John Travolta & Olivia Newton-John ,You're The One That I Want
